50
0;Arujá
1;Barueri
2;Bertioga
3;Biritiba Mirim
4;Caieiras
5;Cajamar
6;Carapicuíba
7;Cotia
8;Cubatão
9;Diadema
10;Embu das Artes
11;Embu-Guaçu
12;Ferraz de Vasconcelos
13;Francisco Morato
14;Franco da Rocha
15;Guararema
16;Guarujá
17;Guarulhos
18;Itanhaém
19;Itapecerica da Serra
20;Itapevi
21;Itaquaquecetuba
22;Itariri
23;Jandira
24;Juquitiba
25;Mairiporã
26;Mauá
27;Mogi das Cruzes
28;Mongaguá
29;Osasco
30;Pedro de Toledo
31;Peruíbe
32;Pirapora do Bom Jesus
33;Poá
34;Praia Grande
35;Ribeirão Pires
36;Rio Grande da Serra
37;Salesópolis
38;Santa Isabel
39;Santana de Parnaíba
40;Santo André
41;Santos
42;Suzano
43;São Bernardo do Campo
44;São Caetano do Sul
45;São Lourenço da Serra
46;São Paulo
47;São Vicente
48;Taboão da Serra
49;Vargem Grande Paulista
159
0;12;21.5
0;15;41.7
0;21;11.0
0;33;18.1
0;38;15.3
0;42;20.6
1;6;5.5
1;7;16.6
1;20;12.6
1;23;6.1
1;29;11.8
1;32;24.8
1;39;12.2
1;49;24.5
2;8;49.0
2;16;38.2
2;36;93.1
2;37;88.7
2;41;44.8
2;47;64.4
3;15;31.4
3;27;21.5
3;33;38.8
3;37;23.6
3;42;35.1
4;5;29.6
4;13;12.4
4;14;7.4
4;25;23.4
4;29;30.2
5;13;23.1
5;14;26.5
5;32;29.1
5;39;16.4
6;10;18.7
6;20;14.4
6;23;9.1
6;29;7.1
6;39;16.2
6;48;16.4
7;10;13.7
7;19;19.2
7;20;8.1
7;23;13.6
7;45;37.1
7;48;18.7
7;49;13.6
8;16;31.2
8;28;37.0
8;34;19.2
8;35;46.2
8;36;47.0
8;41;20.7
8;47;15.9
9;11;34.1
9;26;19.9
9;40;12.0
9;43;10.4
9;44;13.6
9;46;19.2
10;11;24.9
10;19;8.5
10;20;18.1
10;24;45.1
10;29;20.6
10;45;26.4
10;48;10.9
10;49;26.1
11;18;122.7
11;19;17.2
11;24;41.9
11;45;23.1
11;48;35.1
12;17;26.7
12;21;10.5
12;26;26.2
12;27;21.2
12;33;3.8
12;42;9.0
13;14;9.9
13;25;26.4
13;39;36.0
14;25;17.1
14;29;36.9
15;27;25.4
15;37;38.5
15;38;32.6
16;34;23.0
16;41;9.7
16;47;15.9
17;21;26.1
17;25;26.0
17;44;21.8
17;46;18.7
18;22;46.2
18;24;125.0
18;28;20.6
18;30;52.4
18;31;30.9
18;45;142.9
19;24;41.9
19;45;23.2
19;48;18.5
20;23;5.1
20;32;32.2
20;49;14.0
21;27;23.1
21;33;6.8
21;38;26.2
21;42;10.8
22;24;80.0
22;30;7.4
22;31;20.5
22;45;97.9
23;29;16.0
23;32;31.9
23;39;16.4
23;49;20.1
24;30;71.3
24;31;98.0
24;45;19.7
24;49;69.0
25;46;38.5
26;35;9.4
26;36;15.6
26;40;9.5
26;43;15.8
26;44;15.9
27;33;17.6
27;37;43.6
27;38;37.7
27;42;13.9
28;31;48.8
28;34;25.0
28;41;37.1
28;47;29.8
29;46;23.5
29;48;12.5
30;31;27.6
30;45;91.5
32;39;13.4
33;38;32.7
33;42;5.7
34;41;13.9
34;47;6.6
35;36;6.3
35;40;16.0
35;43;21.2
35;44;22.4
36;40;21.1
36;43;26.3
36;47;59.2
37;38;69.6
40;43;8.1
40;44;7.5
40;46;20.2
41;47;8.4
43;44;12.8
44;46;13.1
